participants,pitch,condition,instrument,response
1,46.2493028389544,LRSE,violin,2
1,46.2493028389544,MRSE,violin,1
1,46.2493028389544,HRSE,violin,1
1,46.2493028389544,congr.,violin,NaN
1,58.2704701897613,LRSE,violin,3
1,58.2704701897613,MRSE,violin,2
1,58.2704701897613,HRSE,violin,1
1,58.2704701897613,congr.,violin,NaN
1,73.416191979352,LRSE,violin,3
1,73.416191979352,MRSE,violin,2
1,73.416191979352,HRSE,violin,2
1,73.416191979352,congr.,violin,NaN
1,92.4986056779087,LRSE,violin,2
1,92.4986056779087,MRSE,violin,2
1,92.4986056779087,HRSE,violin,1
1,92.4986056779087,congr.,violin,NaN
1,116.540940379523,LRSE,violin,3
1,116.540940379523,MRSE,violin,2
1,116.540940379523,HRSE,violin,2
1,116.540940379523,congr.,violin,NaN
1,146.832383958704,LRSE,violin,2
1,146.832383958704,MRSE,violin,3
1,146.832383958704,HRSE,violin,2
1,146.832383958704,congr.,violin,NaN
1,184.997211355817,LRSE,violin,3
1,184.997211355817,MRSE,violin,2
1,184.997211355817,HRSE,violin,1
1,184.997211355817,congr.,violin,NaN
1,233.081880759045,LRSE,violin,4
1,233.081880759045,MRSE,violin,3
1,233.081880759045,HRSE,violin,1
1,233.081880759045,congr.,violin,3
1,293.664767917408,LRSE,violin,4
1,293.664767917408,MRSE,violin,2
1,293.664767917408,HRSE,violin,1
1,293.664767917408,congr.,violin,4
1,369.994422711635,LRSE,violin,4
1,369.994422711635,MRSE,violin,4
1,369.994422711635,HRSE,violin,3
1,369.994422711635,congr.,violin,3
1,466.163761518091,LRSE,violin,5
1,466.163761518091,MRSE,violin,4
1,466.163761518091,HRSE,violin,2
1,466.163761518091,congr.,violin,4
1,587.329535834816,LRSE,violin,3
1,587.329535834816,MRSE,violin,4
1,587.329535834816,HRSE,violin,4
1,587.329535834816,congr.,violin,4
1,739.98884542327,LRSE,violin,4
1,739.98884542327,MRSE,violin,3
1,739.98884542327,HRSE,violin,3
1,739.98884542327,congr.,violin,5
1,932.327523036181,LRSE,violin,3
1,932.327523036181,MRSE,violin,4
1,932.327523036181,HRSE,violin,4
1,932.327523036181,congr.,violin,5
1,1174.65907166963,LRSE,violin,3
1,1174.65907166963,MRSE,violin,4
1,1174.65907166963,HRSE,violin,3
1,1174.65907166963,congr.,violin,4
1,1479.97769084654,LRSE,violin,4
1,1479.97769084654,MRSE,violin,3
1,1479.97769084654,HRSE,violin,3
1,1479.97769084654,congr.,violin,2
1,1864.65504607236,LRSE,violin,4
1,1864.65504607236,MRSE,violin,4
